complaint_text,label,severity,sentiment,urgency,issue_type,issue_name
The Anker PowerCore 20000 home button is slightly stiff but still clicks properly.,0,1,-0.1071,0,3,connectivity
The Samsung Galaxy Watch 5 is physically destroyed. Could not use it even one day.,1,3,0.0,0,4,hardware
The Asus ROG Strix G15 Laptop stopped working entirely. I cannot use it for anything now.,1,3,0.0,0,4,hardware
My JBL Tune 760NC Headphones overheats frequently. It is warm even when idle.,0,2,0.6,0,1,battery
Minor audio imbalance on the Bose QuietComfort 45. One side is slightly louder.,0,1,-0.1083,0,1,battery
There is a minor delay when typing on my JBL Tune 760NC Headphones.,0,1,-0.05,0,1,battery
Received a Sony WH-1000XM5 Headphones with a shattered screen. Cannot use it at all.,1,3,0.0,0,4,hardware
My JBL Flip 6 Speaker spontaneously stopped working. Nothing turns on.,1,3,0.6,0,4,hardware
My Corsair K70 RGB Keyboard Bluetooth is unstable and disconnects without warning.,0,2,0.0,0,1,battery
Screen is badly cracked on my new OnePlus Nord CE 3. No way to operate it.,1,3,-0.2818,0,4,hardware
The Bose QuietComfort 45 runs very hot all the time. Overheating is a serious problem.,0,2,-0.0042,0,1,battery
"The Apple AirPods Pro 2 won't power on at all. No lights, no response.",1,3,0.0,0,4,hardware
The Logitech MX Master 3S Mouse was delivered cracked and completely non-functional.,1,3,0.1,0,4,hardware
"The OnePlus Nord CE 3 died completely after 3 days of use. No charging, no response.",1,3,0.1,0,4,hardware
My Dell Inspiron 15 Laptop camera produces distorted images. Cannot use the camera at all.,0,3,0.0,0,1,battery
The OnePlus Nord CE 3 battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
The Sony WH-1000XM5 Headphones keeps disconnecting from WiFi unexpectedly. Very frustrating.,0,3,-0.52,0,1,battery
The Razer Viper Mini Mouse occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
"The iPhone 14 box was slightly dented, but the product itself is fine.",0,3,0.125,0,1,battery
The Logitech MX Master 3S Mouse display brightness flickers very briefly occasionally.,0,3,0.0,0,0,screen
The Asus ROG Strix G15 Laptop battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
Severe damage to my Samsung Galaxy S23. The screen is shattered and won't turn on.,1,3,0.0,0,4,hardware
WiFi keeps dropping on my Logitech MX Master 3S Mouse. Have to reconnect every 15 minutes.,0,3,0.0,0,4,hardware
Bluetooth disconnects every few minutes on my Sony WH-1000XM5 Headphones. Unusable for calls.,0,3,-0.2,0,4,hardware
The Logitech MX Master 3S Mouse is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,4,hardware
My Corsair K70 RGB Keyboard camera produces distorted images. Cannot use the camera at all.,0,3,0.0,0,1,battery
The Anker PowerCore 20000 home button is slightly stiff but still clicks properly.,0,1,-0.1071,0,3,connectivity
The Asus ROG Strix G15 Laptop is physically destroyed. Could not use it even one day.,1,3,0.0,0,4,hardware
The iPhone 14 sometimes has a very minor echo on calls. Barely noticeable.,0,3,-0.0075,0,1,battery
The Dell Inspiron 15 Laptop drops Bluetooth intermittently. I have to reconnect every time.,0,3,0.0,0,4,hardware
The Logitech MX Master 3S Mouse has a tiny mark on the screen protector. Nothing major.,0,3,0.0312,0,4,hardware
My Galaxy Tab S9 is continuously restarting. Very difficult to use.,0,3,-0.65,0,4,hardware
The Apple AirPods Pro 2 has a massive crack across the display. Completely unusable.,1,3,0.05,0,4,hardware
The iPad Air is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,4,hardware
The iPhone 14 camera is blurry all the time. Every photo is out of focus.,0,3,0.0,0,0,screen
The Corsair K70 RGB Keyboard has a severe hardware failure. It is entirely non-functional.,1,3,-0.1583,0,1,battery
Minor audio imbalance on the Apple AirPods Pro 2. One side is slightly louder.,0,1,-0.1083,0,1,battery
My Samsung Galaxy S23 is completely unresponsive. It is dead and will not start.,1,3,-0.05,0,4,hardware
The Corsair K70 RGB Keyboard battery health is very bad. Charging does not hold.,0,2,-0.91,0,1,battery
"The Bose QuietComfort 45 won't power on at all. No lights, no response.",1,3,0.0,0,4,hardware
The Razer Viper Mini Mouse casing is cracked and the internal components are exposed.,1,3,0.0,0,4,hardware
Screen is badly cracked on my new Dell UltraSharp 27 Monitor. No way to operate it.,1,3,-0.2818,0,4,hardware
The Asus ROG Strix G15 Laptop occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
The OnePlus Nord CE 3 screen was cracked when I opened the package.,1,3,0.0,0,0,screen
My Galaxy Tab S9 freezes and then restarts unexpectedly. This is happening daily.,0,3,0.05,0,4,hardware
The Apple AirPods Pro 2 sometimes has a very minor echo on calls. Barely noticeable.,0,1,-0.0075,0,1,battery
The Apple AirPods Pro 2 fell apart within days. It is unusable now.,1,3,0.0,0,4,hardware
The Dell UltraSharp 27 Monitor has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
The Corsair K70 RGB Keyboard charging port is slightly tight. Charges fine once connected.,0,2,0.119,0,1,battery
"The JBL Flip 6 Speaker died completely after 3 days of use. No charging, no response.",1,3,0.1,0,1,battery
WiFi keeps dropping on my Samsung Galaxy Watch 5. Have to reconnect every 15 minutes.,0,3,0.0,0,4,hardware
The Dell UltraSharp 27 Monitor display cracked on arrival. The device is totally broken.,1,3,-0.4,0,4,hardware
The JBL Tune 760NC Headphones has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
The iPhone 14 occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
There is a very slight colour tint on one corner of the Dell UltraSharp 27 Monitor screen.,0,1,-0.2167,0,0,screen
The Galaxy Tab S9 has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
The Sony WH-1000XM5 Headphones is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,1,battery
My Dell Inspiron 15 Laptop is completely unresponsive. It is dead and will not start.,1,3,-0.05,0,4,hardware
The Asus ROG Strix G15 Laptop battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
The Razer Viper Mini Mouse disconnects from the network at least 5 times per hour.,0,3,-0.3,0,0,screen
The Asus ROG Strix G15 Laptop arrived with a broken screen. Cannot power it on.,1,3,-0.4,0,4,hardware
The JBL Tune 760NC Headphones restarts randomly several times a day.,0,2,0.0,0,1,battery
My Razer Viper Mini Mouse screen cracked after one small drop. Everything is unreadable.,1,3,-0.25,0,4,hardware
Very minor lag on the Anker PowerCore 20000 when opening apps. Otherwise fine.,0,3,0.1758,0,4,hardware
My Samsung Galaxy Watch 5 Bluetooth is unstable and disconnects without warning.,0,3,0.0,0,1,battery
The Dell UltraSharp 27 Monitor volume button is a tiny bit loose. Everything works normally.,0,3,0.0244,0,4,hardware
The Dell Inspiron 15 Laptop overheats during normal use. It gets too hot to hold.,0,2,0.2,0,1,battery
My Samsung Galaxy S23 is completely dead. It won't turn on no matter what I try.,1,3,-0.2,0,4,hardware
My iPhone 14 keeps losing its Bluetooth connection every few minutes.,0,3,-0.2,0,4,hardware
The Corsair K70 RGB Keyboard runs very hot all the time. Overheating is a serious problem.,0,2,-0.0042,0,1,battery
The iPhone 14 takes a second or two longer to load than expected.,0,2,-0.05,0,2,performance
The Apple AirPods Pro 2 keeps disconnecting from WiFi unexpectedly. Very frustrating.,0,3,-0.52,0,4,hardware
My Sony WH-1000XM5 Headphones screen cracked after one small drop. Everything is unreadable.,1,3,-0.25,0,4,hardware
The Corsair K70 RGB Keyboard runs very hot all the time. Overheating is a serious problem.,0,2,-0.0042,0,1,battery
The Corsair K70 RGB Keyboard arrived with a broken screen. Cannot power it on.,1,3,-0.4,0,4,hardware
Slight audio delay on my Sony WH-1000XM5 Headphones when watching videos. Minor issue.,0,3,-0.1083,0,1,battery
The Samsung Galaxy Watch 5 has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
Screen is badly cracked on my new OnePlus Nord CE 3. No way to operate it.,1,3,-0.2818,0,4,hardware
My iPad Air touch screen has a very slight delay in one small area.,0,2,-0.2333,0,0,screen
My OnePlus Nord CE 3 has occasional minor slow-downs that are barely noticeable.,0,3,-0.075,0,2,performance
The Galaxy Tab S9 is dead on arrival. Pressing the power button does nothing.,1,3,-0.2,0,4,hardware
My Corsair K70 RGB Keyboard freezes and then restarts unexpectedly. This is happening daily.,0,3,0.05,0,4,hardware
WiFi keeps dropping on my Razer Viper Mini Mouse. Have to reconnect every 15 minutes.,0,3,0.0,0,4,hardware
My Logitech MX Master 3S Mouse is completely dead. It won't turn on no matter what I try.,1,3,-0.2,0,4,hardware
The Apple AirPods Pro 2 reboots on its own without warning at least twice a day.,0,2,0.15,0,0,screen
There is a loud buzzing noise from my Dell UltraSharp 27 Monitor at all times.,0,3,0.1,0,4,hardware
Very minor lag on the Bose QuietComfort 45 when opening apps. Otherwise fine.,0,3,0.1758,0,4,hardware
Dead on arrival: the Anker PowerCore 20000 screen is cracked and shows nothing.,1,3,-0.2,0,4,hardware
The Corsair K70 RGB Keyboard arrived with a broken screen. Cannot power it on.,1,3,-0.4,0,4,hardware
There is a slight scuff on the corner of my iPhone 14. Minor cosmetic issue.,0,3,-0.1083,0,4,hardware
My iPad Air spontaneously stopped working. Nothing turns on.,1,3,0.6,0,4,hardware
Bluetooth disconnects every few minutes on my Apple AirPods Pro 2. Unusable for calls.,0,3,-0.2,0,4,hardware
The Galaxy Tab S9 casing is cracked and the internal components are exposed.,1,3,0.0,0,4,hardware
The Samsung Galaxy Watch 5 overheats during normal use. It gets too hot to hold.,0,2,0.2,0,1,battery
The Dell Inspiron 15 Laptop restarts randomly several times a day.,0,3,0.0,0,4,hardware
The OnePlus Nord CE 3 takes a second or two longer to load than expected.,0,2,-0.05,0,2,performance
The Samsung Galaxy S23 drops Bluetooth intermittently. I have to reconnect every time.,0,3,0.0,0,4,hardware
The OnePlus Nord CE 3 screen was cracked when I opened the package.,1,3,0.0,0,0,screen
My iPhone 14 freezes and then restarts unexpectedly. This is happening daily.,0,3,0.05,0,4,hardware
The Anker PowerCore 20000 charging port is slightly tight. Charges fine once connected.,0,2,0.119,0,1,battery
My JBL Tune 760NC Headphones spontaneously stopped working. Nothing turns on.,1,3,0.6,0,4,hardware
Small cosmetic scratch on the Asus ROG Strix G15 Laptop body. Functionality is perfect.,0,3,0.375,0,4,hardware
The Samsung Galaxy Watch 5 battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
My Dell UltraSharp 27 Monitor is completely broken. Nothing works and it won't start.,1,3,-0.4,0,4,hardware
The JBL Tune 760NC Headphones disconnects from Bluetooth constantly. Cannot use it properly.,0,2,0.0,0,1,battery
Screen is badly cracked on my new Apple AirPods Pro 2. No way to operate it.,1,3,-0.2818,0,4,hardware
The Corsair K70 RGB Keyboard display has dead pixels scattered across the screen.,0,3,-0.2,0,0,screen
My Sony WH-1000XM5 Headphones went completely dead overnight. Nothing happens when I press power.,1,2,-0.2,0,4,hardware
The iPad Air battery health is very bad. Charging does not hold.,0,2,-0.91,0,1,battery
There is a minor creak in the Asus ROG Strix G15 Laptop chassis. No functional issue.,0,3,-0.05,0,1,battery
The JBL Tune 760NC Headphones arrived broken. The power button does not respond at all.,1,3,-0.4,0,4,hardware
The JBL Flip 6 Speaker home button is slightly stiff but still clicks properly.,0,1,-0.1071,0,3,connectivity
The Apple AirPods Pro 2 has a tiny mark on the screen protector. Nothing major.,0,3,0.0312,0,4,hardware
The Bose QuietComfort 45 occasionally shows a brief flicker on startup. Very rare.,0,1,0.13,0,4,hardware
My Galaxy Tab S9 is slightly slow when loading apps. Minor performance issue.,0,3,-0.175,0,1,battery
There is a minor delay when typing on my Dell UltraSharp 27 Monitor.,0,3,-0.05,0,0,screen
The Asus ROG Strix G15 Laptop display has dead pixels scattered across the screen.,0,3,-0.2,0,0,screen
The Corsair K70 RGB Keyboard disconnects from Bluetooth constantly. Cannot use it properly.,0,2,0.0,0,1,battery
The Bose QuietComfort 45 occasionally shows a brief flicker on startup. Very rare.,0,1,0.13,0,4,hardware
There is a minor creak in the Corsair K70 RGB Keyboard chassis. No functional issue.,0,3,-0.05,0,1,battery
There is a minor creak in the Samsung Galaxy S23 chassis. No functional issue.,0,3,-0.05,0,1,battery
My Sony WH-1000XM5 Headphones went completely dead overnight. Nothing happens when I press power.,1,2,-0.2,0,4,hardware
The Sony WH-1000XM5 Headphones screen was cracked when I opened the package.,1,3,0.0,0,0,screen
The Dell Inspiron 15 Laptop broke within one week of purchase. It won't turn on anymore.,1,3,0.0,0,4,hardware
"The Asus ROG Strix G15 Laptop box was slightly dented, but the product itself is fine.",0,3,0.125,0,4,hardware
The Dell UltraSharp 27 Monitor battery health is very bad. Charging does not hold.,0,2,-0.91,0,1,battery
There is a slight scuff on the corner of my Logitech MX Master 3S Mouse. Minor cosmetic issue.,0,3,-0.1083,0,4,hardware
The iPad Air drops Bluetooth intermittently. I have to reconnect every time.,0,3,0.0,0,0,screen
The OnePlus Nord CE 3 stopped working entirely. I cannot use it for anything now.,1,3,0.0,0,4,hardware
My Razer Viper Mini Mouse battery life is extremely poor. Dies within 90 minutes.,0,3,-0.4,0,4,hardware
The iPad Air screen was cracked when I opened the package.,1,3,0.0,0,0,screen
My Corsair K70 RGB Keyboard battery life is extremely poor. Dies within 90 minutes.,0,2,-0.4,0,1,battery
Bought a Samsung Galaxy S23 and it is totally dead. Cannot turn it on at all.,1,3,-0.2,0,4,hardware
There is a minor delay when typing on my Bose QuietComfort 45.,0,1,-0.05,0,1,battery
Severe damage to my Logitech MX Master 3S Mouse. The screen is shattered and won't turn on.,1,3,0.0,0,4,hardware
The Dell UltraSharp 27 Monitor is dead on arrival. Pressing the power button does nothing.,1,3,-0.2,0,4,hardware
The Dell UltraSharp 27 Monitor camera is blurry all the time. Every photo is out of focus.,0,3,0.0,0,4,hardware
The Sony WH-1000XM5 Headphones charges very slowly and drains battery very quickly.,0,2,0.0217,0,3,connectivity
The iPhone 14 keeps disconnecting from WiFi unexpectedly. Very frustrating.,0,3,-0.52,0,4,hardware
There is a minor creak in the Anker PowerCore 20000 chassis. No functional issue.,0,3,-0.05,0,4,hardware
The Samsung Galaxy Watch 5 charging port is slightly tight. Charges fine once connected.,0,2,0.119,0,1,battery
The Asus ROG Strix G15 Laptop home button is slightly stiff but still clicks properly.,0,1,-0.1071,0,3,connectivity
There is a minor creak in the Dell UltraSharp 27 Monitor chassis. No functional issue.,0,3,-0.05,0,4,hardware
The Apple AirPods Pro 2 charges very slowly and drains battery very quickly.,0,2,0.0217,0,2,performance
The OnePlus Nord CE 3 arrived broken. The power button does not respond at all.,1,3,-0.4,0,4,hardware
Very minor lag on the Samsung Galaxy S23 when opening apps. Otherwise fine.,0,3,0.1758,0,4,hardware
The JBL Flip 6 Speaker drops Bluetooth intermittently. I have to reconnect every time.,0,3,0.0,0,4,hardware
The Sony WH-1000XM5 Headphones sometimes has a very minor echo on calls. Barely noticeable.,0,1,-0.0075,0,1,battery
The Dell Inspiron 15 Laptop has a severe hardware failure. It is entirely non-functional.,1,3,-0.1583,0,3,connectivity
My JBL Flip 6 Speaker freezes and then restarts unexpectedly. This is happening daily.,0,3,0.05,0,4,hardware
The Bose QuietComfort 45 volume button is a tiny bit loose. Everything works normally.,0,1,0.0244,0,4,hardware
The Logitech MX Master 3S Mouse broke within one week of purchase. It won't turn on anymore.,1,3,0.0,0,4,hardware
My Apple AirPods Pro 2 is completely dead. It won't turn on no matter what I try.,1,3,-0.2,0,4,hardware
My Apple AirPods Pro 2 went completely dead overnight. Nothing happens when I press power.,1,3,-0.2,0,4,hardware
The Apple AirPods Pro 2 screen was cracked when I opened the package.,1,3,0.0,0,0,screen
The Apple AirPods Pro 2 has a massive crack across the display. Completely unusable.,1,3,0.05,0,4,hardware
My Dell Inspiron 15 Laptop is completely unresponsive. It is dead and will not start.,1,3,-0.05,0,4,hardware
The Anker PowerCore 20000 charges very slowly and drains battery very quickly.,0,2,0.0217,0,2,performance
There is a minor creak in the Samsung Galaxy Watch 5 chassis. No functional issue.,0,3,-0.05,0,1,battery
"The OnePlus Nord CE 3 won't power on at all. No lights, no response.",1,3,0.0,0,4,hardware
The Samsung Galaxy Watch 5 battery health is very bad. Charging does not hold.,0,2,-0.91,0,1,battery
The Dell UltraSharp 27 Monitor sometimes has a very minor echo on calls. Barely noticeable.,0,3,-0.0075,0,4,hardware
There is a minor delay when typing on my Dell Inspiron 15 Laptop.,0,3,-0.05,0,4,hardware
The Logitech MX Master 3S Mouse is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,4,hardware
The Galaxy Tab S9 keeps disconnecting from WiFi unexpectedly. Very frustrating.,0,3,-0.52,0,4,hardware
Bought a Apple AirPods Pro 2 and it is totally dead. Cannot turn it on at all.,1,3,-0.2,0,4,hardware
My OnePlus Nord CE 3 is completely broken. The screen is black and there is no power.,1,3,-0.2833,0,4,hardware
The Logitech MX Master 3S Mouse camera is blurry all the time. Every photo is out of focus.,0,3,0.0,0,0,screen
The Samsung Galaxy S23 occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
The JBL Tune 760NC Headphones overheats and then shuts down automatically. Not acceptable.,0,3,-0.1556,0,4,hardware
There is a loud buzzing noise from my Apple AirPods Pro 2 at all times.,0,3,0.1,0,4,hardware
The Galaxy Tab S9 home button is slightly stiff but still clicks properly.,0,1,-0.1071,0,3,connectivity
The Dell Inspiron 15 Laptop screen was cracked when I opened the package.,1,3,0.0,0,0,screen
The Sony WH-1000XM5 Headphones battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
The Corsair K70 RGB Keyboard occasionally shows a brief flicker on startup. Very rare.,0,3,0.13,0,4,hardware
The Logitech MX Master 3S Mouse casing is cracked and the internal components are exposed.,1,3,0.0,0,4,hardware
Screen is badly cracked on my new Samsung Galaxy S23. No way to operate it.,1,3,-0.2818,0,4,hardware
The JBL Flip 6 Speaker battery health is very bad. Charging does not hold.,0,2,-0.91,0,1,battery
Received a iPhone 14 with a shattered screen. Cannot use it at all.,1,3,0.0,0,4,hardware
The Corsair K70 RGB Keyboard display has dead pixels scattered across the screen.,0,3,-0.2,0,0,screen
The iPad Air battery drains very fast. It barely lasts 2 hours.,0,2,0.155,0,1,battery
There is a minor delay when typing on my Samsung Galaxy S23.,0,3,-0.05,0,1,battery
"The Razer Viper Mini Mouse box was slightly dented, but the product itself is fine.",0,3,0.125,0,4,hardware
The Sony WH-1000XM5 Headphones battery health is very bad. Charging does not hold.,0,2,-0.91,0,1,battery
The Apple AirPods Pro 2 fell apart within days. It is unusable now.,1,3,0.0,0,4,hardware
The Samsung Galaxy S23 has a slight lag when switching between apps.,0,2,-0.1667,0,3,connectivity
The Bose QuietComfort 45 takes a second or two longer to load than expected.,0,2,-0.05,0,2,performance
There is a minor delay when typing on my Dell UltraSharp 27 Monitor.,0,3,-0.05,0,0,screen
The Sony WH-1000XM5 Headphones display cracked on arrival. The device is totally broken.,1,3,-0.4,0,4,hardware
The Logitech MX Master 3S Mouse has a severe hardware failure. It is entirely non-functional.,1,3,-0.1583,0,4,hardware
There is a slight scuff on the corner of my Razer Viper Mini Mouse. Minor cosmetic issue.,0,3,-0.1083,0,4,hardware
My Asus ROG Strix G15 Laptop battery life is extremely poor. Dies within 90 minutes.,0,2,-0.4,0,1,battery
The iPad Air display has dead pixels scattered across the screen.,0,3,-0.2,0,0,screen
The Galaxy Tab S9 runs very hot all the time. Overheating is a serious problem.,0,3,-0.0042,0,1,battery
My Razer Viper Mini Mouse touch screen has a very slight delay in one small area.,0,2,-0.2333,0,0,screen
My OnePlus Nord CE 3 is completely unresponsive. It is dead and will not start.,1,3,-0.05,0,4,hardware
The Razer Viper Mini Mouse overheats and then shuts down automatically. Not acceptable.,0,3,-0.1556,0,4,hardware
The Dell UltraSharp 27 Monitor runs very hot all the time. Overheating is a serious problem.,0,2,-0.0042,0,1,battery
The Galaxy Tab S9 speaker produces a constant buzzing sound when playing audio.,0,1,0.2,0,3,connectivity
The Dell UltraSharp 27 Monitor display cracked on arrival. The device is totally broken.,1,3,-0.4,0,4,hardware
Slight audio delay on my iPhone 14 when watching videos. Minor issue.,0,3,-0.1083,0,1,battery
The Samsung Galaxy S23 restarts randomly several times a day.,0,2,0.0,0,1,battery
The JBL Tune 760NC Headphones is completely dead and cannot be repaired. Hardware failure.,1,3,-0.2583,0,1,battery
There is a minor creak in the Dell Inspiron 15 Laptop chassis. No functional issue.,0,3,-0.05,0,4,hardware
The Corsair K70 RGB Keyboard has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
Slight audio delay on my Galaxy Tab S9 when watching videos. Minor issue.,0,3,-0.1083,0,4,hardware
Slight audio delay on my Bose QuietComfort 45 when watching videos. Minor issue.,0,3,-0.1083,0,1,battery
The Bose QuietComfort 45 has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
The Galaxy Tab S9 is dead on arrival. Pressing the power button does nothing.,1,3,-0.2,0,4,hardware
Small cosmetic scratch on the Sony WH-1000XM5 Headphones body. Functionality is perfect.,0,1,0.375,0,4,hardware
The OnePlus Nord CE 3 has a very small scratch on the back. Barely visible.,0,3,-0.0917,0,4,hardware
There is a slight scuff on the corner of my Samsung Galaxy S23. Minor cosmetic issue.,0,3,-0.1083,0,4,hardware
The Asus ROG Strix G15 Laptop has catastrophic damage. Nothing works at all.,1,3,0.0,0,4,hardware
The Galaxy Tab S9 disconnects from the network at least 5 times per hour.,0,3,-0.3,0,3,connectivity
Bought a JBL Flip 6 Speaker and it is totally dead. Cannot turn it on at all.,1,3,-0.2,0,4,hardware
My Razer Viper Mini Mouse has occasional minor slow-downs that are barely noticeable.,0,3,-0.075,0,2,performance
"The Apple AirPods Pro 2 died completely after 3 days of use. No charging, no response.",1,3,0.1,0,4,hardware
Very minor lag on the Apple AirPods Pro 2 when opening apps. Otherwise fine.,0,3,0.1758,0,4,hardware
The OnePlus Nord CE 3 has catastrophic damage. Nothing works at all.,1,3,0.0,0,4,hardware
Severe damage to my iPhone 14. The screen is shattered and won't turn on.,1,3,0.0,0,4,hardware
The Corsair K70 RGB Keyboard disconnects from Bluetooth constantly. Cannot use it properly.,0,2,0.0,0,1,battery
The Anker PowerCore 20000 randomly restarts during use. Losing unsaved work constantly.,0,2,-0.25,0,4,hardware
There is a very slight colour tint on one corner of the Bose QuietComfort 45 screen.,0,1,-0.2167,0,1,battery
There is a minor delay when typing on my Dell UltraSharp 27 Monitor.,0,3,-0.05,0,0,screen
